[INFO ] [2024-06-27 15:22:40,287] Upload - Step 01: Load single file
[INFO ] [2024-06-27 15:22:43,380] Upload - Step 02: Verify
[INFO ] [2024-06-27 15:22:43,440] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:22:43,440] Upload - Step 03: Click To star button
[INFO ] [2024-06-27 15:22:43,730] Upload - Step 04: Verify upload
[INFO ] [2024-06-27 15:22:45,507] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:22:45,508] Upload - Step 05: Verify image displayd
[INFO ] [2024-06-27 15:22:45,549] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:22:45,560] Upload - Step 01: Refresh page
[INFO ] [2024-06-27 15:22:46,680] Upload - Step 02: Load single file
[INFO ] [2024-06-27 15:22:49,726] Upload - Step 03: Verify File One
[INFO ] [2024-06-27 15:22:49,778] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:22:49,778] Upload - Step 04: Verify File Two
[INFO ] [2024-06-27 15:22:49,821] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:22:49,821] Upload - Step 05: Verify File Three
[INFO ] [2024-06-27 15:22:49,862] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:22:49,862] Upload - Step 06: Verify File Four
[INFO ] [2024-06-27 15:22:49,900] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:22:49,901] Upload - Step 07: Verify File Five
[INFO ] [2024-06-27 15:22:49,941] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:22:49,941] Upload - Step 08: Verify File Six
[INFO ] [2024-06-27 15:22:49,979] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:22:49,979] Upload - Step 09: Click To star button
[INFO ] [2024-06-27 15:22:51,442] Upload - Step 10: Verify upload File One
[INFO ] [2024-06-27 15:22:51,832] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:22:51,833] Upload - Step 11: Verify upload File Two
[INFO ] [2024-06-27 15:22:53,112] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:22:53,112] Upload - Step 12: Verify upload File Three
[INFO ] [2024-06-27 15:22:53,153] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:22:53,153] Upload - Step 13: Verify upload File Four
[INFO ] [2024-06-27 15:22:53,188] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:22:53,189] Upload - Step 14: Verify upload File Five
[INFO ] [2024-06-27 15:22:53,226] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:22:53,226] Upload - Step 15: Verify upload File Six
[INFO ] [2024-06-27 15:22:55,265] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 15:22:55,266] Upload - Step 16: Verify image display File One
